relay_id,start,end,duration_min,name,profile_mentions
9,2026-05-13 14:39:54,2026-05-13 15:30:00,50.1,,Приток с улицы (Бокс 2) / pre
9,2026-05-20 11:07:23,2026-05-20 19:09:29,482.1,,Приток с улицы (Бокс 2) / pre
9,2026-05-22 12:10:21,2026-05-22 18:39:18,388.95,,Приток с улицы (Бокс 2) / pre
10,2026-03-28 16:54:32,2026-03-28 16:56:11,1.65,,Приток с улицы (Бокс 1) / main; Рециркуляция (Бокс 1) / main; Обогрев (Бокс 1) / main
10,2026-03-31 16:42:29,2026-03-31 16:42:44,0.25,,Приток с улицы (Бокс 1) / main; Рециркуляция (Бокс 1) / main; Обогрев (Бокс 1) / main
11,2026-03-28 17:10:35,2026-03-28 17:25:22,14.783333333333333,,Приток с улицы (Бокс 2) / pre
11,2026-03-31 11:42:09,2026-03-31 12:14:29,32.333333333333336,,Приток с улицы (Бокс 2) / pre
11,2026-03-31 13:21:49,2026-03-31 14:32:25,70.6,,Приток с улицы (Бокс 2) / pre
11,2026-03-31 15:21:15,2026-03-31 15:21:28,0.21666666666666667,,Приток с улицы (Бокс 2) / pre
11,2026-03-31 16:01:54,2026-03-31 16:42:56,41.03333333333333,,Приток с улицы (Бокс 2) / pre
11,2026-03-31 17:31:09,2026-03-31 17:31:15,0.1,,Приток с улицы (Бокс 2) / pre
11,2026-03-31 17:31:55,2026-04-01 16:33:07,1381.2,,Приток с улицы (Бокс 2) / pre
11,2026-04-01 16:35:34,2026-04-02 12:57:57,1222.3833333333334,,Приток с улицы (Бокс 2) / pre
11,2026-04-02 12:59:06,2026-04-09 10:43:12,9944.1,,Приток с улицы (Бокс 2) / pre
11,2026-04-09 11:01:35,2026-04-15 10:25:22,8603.783333333333,,Приток с улицы (Бокс 2) / pre
11,2026-04-15 10:26:53,2026-04-23 16:30:54,11884.016666666666,,Приток с улицы (Бокс 2) / pre
11,2026-04-23 17:28:41,2026-04-27 09:10:33,5261.866666666667,,Приток с улицы (Бокс 2) / pre
11,2026-04-27 14:57:54,2026-04-27 17:13:36,135.7,,Приток с улицы (Бокс 2) / pre
11,2026-05-13 14:39:54,2026-05-13 15:30:00,50.1,,Приток с улицы (Бокс 2) / pre
11,2026-05-20 11:07:23,2026-05-20 19:09:29,482.1,,Приток с улицы (Бокс 2) / pre
11,2026-05-22 12:10:21,2026-05-22 18:39:18,388.95,,Приток с улицы (Бокс 2) / pre
12,2026-03-28 16:22:35,2026-03-28 16:22:35,0.0,,Приток с улицы (Бокс 1) / pre
12,2026-03-28 16:54:22,2026-03-28 16:56:21,1.9833333333333334,,Приток с улицы (Бокс 1) / pre
14,2026-03-28 16:22:35,2026-03-28 16:24:16,1.6833333333333333,,Приток с улицы (Бокс 1) / pre; Рециркуляция (Бокс 1) / pre; Обогрев (Бокс 1) / pre
14,2026-03-28 16:54:22,2026-03-28 16:56:21,1.9833333333333334,,Приток с улицы (Бокс 1) / pre; Рециркуляция (Бокс 1) / pre; Обогрев (Бокс 1) / pre
14,2026-03-31 14:19:24,2026-03-31 14:19:34,0.16666666666666666,,Приток с улицы (Бокс 1) / pre; Рециркуляция (Бокс 1) / pre; Обогрев (Бокс 1) / pre
14,2026-03-31 16:42:19,2026-03-31 16:42:56,0.6166666666666667,,Приток с улицы (Бокс 1) / pre; Рециркуляция (Бокс 1) / pre; Обогрев (Бокс 1) / pre
15,2026-03-31 16:42:29,2026-03-31 16:42:56,0.45,,Обогрев (Бокс 1) / main
