metric,pair,n_common_minutes,mean_diff,median_diff,mean_abs_diff,p95_abs_diff,rmse_diff,correlation
temperature,th-1 - th-2,81314,-2.685687581474285,-2.599999999999998,2.689932852891261,4.900000000000002,3.0849791637800856,0.8287511473268581
temperature,th-1 - co2-1,52563,0.4240264064075491,0.5,0.598506554039914,1.1000000000000014,0.7236541985264479,0.9820575125416205
temperature,th-2 - co2-1,52561,3.2217670896672437,3.599999999999998,3.233490610909229,5.099999999999998,3.4641309707827515,0.8909491330262247
humidity,th-1 - th-2,81278,0.9678633824651197,1.0,2.9925687147813678,7.0,4.628779647341968,0.8055480478080531
humidity,th-1 - co2-1,52563,-10.161493826455873,-10.7,10.161493826455873,12.899999999999999,10.382138824681896,0.9357830280017417
humidity,th-2 - co2-1,52525,-11.314796763445978,-12.700000000000003,11.583918134221799,16.200000000000003,12.518083308145144,0.6822205793721698
