date,cultivar,variant,metric,n,mean,min,max,cv_pct
2026-04-17,Рафаэль,2,"Высота, см",6,7.6,6.5,8.9,9.84646680729985
2026-04-17,Рафаэль,3,"Ес, мСм/см",6,2.395,2.26,2.54,3.5978471690217324
2026-04-17,Рафаэль,3,"Высота, см",6,5.45,4.0,8.1,26.521008924493966
2026-04-17,Рафаэль,4,"Ес, мСм/см",6,2.223333333333333,1.98,2.67,9.88027609630909
2026-04-17,Рафаэль,4,"Высота, см",6,6.116666666666666,2.8,9.2,31.805497356754092
2026-04-17,Рафаэль,5,"Ес, мСм/см",6,3.6183333333333336,2.24,6.69,40.93000722465442
2026-04-17,Рафаэль,5,"Высота, см",6,2.1833333333333336,0.5,3.6,56.43178497183578
2026-04-18,Джипси,2,"Ес, мСм/см",6,2.34,2.15,2.43,4.172597867771175
2026-04-18,Джипси,2,"Высота, см",6,6.016666666666667,3.5,8.1,26.548034809658073
2026-04-18,Джипси,3,"Ес, мСм/см",6,3.2283333333333335,2.23,4.21,21.842042881534542
2026-04-18,Джипси,3,"Высота, см",6,3.716666666666667,1.8,9.0,65.50923378911612
2026-04-18,Джипси,4,"Ес, мСм/см",6,2.585,2.17,3.35,16.70885842269538
2026-04-18,Джипси,4,"Высота, см",6,4.233333333333333,1.7,7.3,40.54162413182992
2026-04-18,Джипси,5,"Ес, мСм/см",6,3.0316666666666667,2.37,3.88,19.51373978647911
2026-04-18,Джипси,5,"Высота, см",6,3.433333333333333,1.7,6.8,49.733003785886204
2026-04-18,Цезарь,2,"Ес, мСм/см",6,2.9583333333333335,2.43,3.64,15.462607917245391
2026-04-18,Цезарь,2,"Высота, см",6,4.583333333333333,2.5,8.2,47.891060950956856
2026-04-18,Цезарь,3,"Ес, мСм/см",6,3.368333333333333,2.27,5.03,30.98713261255806
2026-04-18,Цезарь,3,"Высота, см",6,3.75,1.7,8.4,66.55546280831973
2026-04-18,Цезарь,4,"Ес, мСм/см",6,3.413333333333333,2.15,4.25,20.082551342103006
2026-04-18,Цезарь,4,"Высота, см",6,3.55,2.2,8.7,65.51440912765601
2026-04-18,Цезарь,5,"Ес, мСм/см",6,3.1683333333333334,2.44,4.48,24.20402225181918
