cultivar,variant,before_avg_g,after_avg_g,loss_pct
Триплекс,1,10.614999999999998,8.32,21.62034856335373
Триплекс,2,12.365,10.53,14.840274969672464
Триплекс,3,11.19,9.41,15.90705987488829
Триплекс,4,11.3,9.875,12.61061946902656
Триплекс,5,12.265,10.434999999999999,14.920505503465165
Рафаэль,1,11.305,10.445,7.607253427686857
Рафаэль,2,10.684999999999999,10.045,5.989705194197455
Рафаэль,3,14.844999999999999,13.86,6.635230717413265
Рафаэль,4,14.91,14.515,2.6492287055667276
Рафаэль,5,17.884999999999998,17.080000000000002,4.500978473581185
Джипси,1,17.725,17.009999999999998,4.033850493653048
Джипси,2,15.27,14.61,4.3222003929273
Джипси,3,15.9,15.120000000000001,4.905660377358487
Джипси,4,15.43,14.754999999999999,4.374594944912502
Джипси,5,17.64,17.025,3.4863945578231466
Цезарь,1,19.895,19,4.4986177431515415
Цезарь,2,23.615000000000002,19.985,15.371585856447183
Цезарь,3,22.75,21.995,3.318681318681314
Цезарь,4,21.17,20.57,2.8341993386868296
Цезарь,5,21.59,20.79,3.705419175544236
Каскад,1,24.259999999999998,23.189999999999998,4.4105523495465775
Каскад,2,23.82,22.884999999999998,3.925272879932834
Каскад,3,28.51,27.369999999999997,3.998596983514574
Каскад,4,28.174999999999997,26.885,4.5785270629991
Каскад,5,31.475,30.545,2.9547259729944386
Риф,1,20.43,19.61,4.013705335291235
Риф,2,22.405,17.45,22.115599196607903
Риф,3,22.225,15.540000000000001,30.078740157480325
Риф,4,21.68,20.415,5.834870848708491
Риф,5,23.630000000000003,20.619999999999997,12.738044858231092
