hour,n,mean_abs_th2_co2_temp_diff,max_abs_th2_co2_temp_diff
2026-05-20 15:00:00,35,6.054285714285715,6.200000000000003
2026-05-20 17:00:00,26,6.034615384615384,6.199999999999999
2026-05-20 16:00:00,27,6.02962962962963,6.199999999999996
2026-05-20 14:00:00,33,6.027272727272727,6.200000000000003
2026-05-20 18:00:00,49,6.000000000000001,6.099999999999998
2026-05-26 07:00:00,60,5.401666666666667,5.599999999999998
2026-05-26 08:00:00,60,5.401666666666667,5.5
2026-05-26 05:00:00,60,5.38,5.600000000000001
2026-05-20 13:00:00,44,5.375,6.099999999999998
2026-05-26 04:00:00,60,5.346666666666667,5.400000000000002
2026-05-26 06:00:00,60,5.318333333333333,5.5
2026-05-26 09:00:00,60,5.3100000000000005,5.5
2026-05-26 11:00:00,60,5.296666666666667,5.399999999999999
2026-05-26 12:00:00,60,5.28,5.400000000000002
2026-05-26 13:00:00,60,5.275,5.400000000000002
2026-05-26 21:00:00,60,5.259999999999999,5.399999999999999
2026-04-19 03:00:00,60,5.256666666666667,5.699999999999999
2026-04-20 03:00:00,60,5.256666666666667,5.600000000000001
2026-05-26 22:00:00,27,5.2555555555555555,5.399999999999999
2026-05-26 16:00:00,60,5.248333333333332,5.399999999999999
2026-05-26 10:00:00,60,5.246666666666666,5.399999999999999
2026-05-26 14:00:00,60,5.233333333333334,5.399999999999999
2026-04-20 04:00:00,60,5.2283333333333335,5.400000000000002
2026-05-26 03:00:00,60,5.218333333333333,5.399999999999999
2026-05-26 20:00:00,60,5.21,5.300000000000001
