cultivar,spad_mean,spad_n,assim_area_m2,dm_pct,water_deficit_pct,rel_turgor_pct,water_hold_pct,mobile_water_pct
Мидори,28.375,8,0.02866,3.699320622397527,86.04142544706032,,70.30755395683454,25.73381294964031
Каскад,24.316666666666666,6,0.03524,4.451692033227382,82.64806002602081,,49.33531746031745,46.69642857142859
Цезарь,42.04,5,0.021820000000000003,6.881482275330732,83.6297195489757,,76.62790697674421,19.91317829457364
Везувий,32.13333333333333,6,0.024659999999999998,2.5713384281006646,87.8326828190588,,59.6842737094838,35.46818727490996
Хризолит,19.900000000000002,7,0.018575,4.544669085882096,88.64982118778214,,63.32339449541287,31.651376146788976
Нефрит,22.800000000000004,7,0.01854,6.1969119257049865,90.33440593051198,,77.54371002132193,16.89658848614077
Риф,14.86,5,0.027339999999999996,4.193178262230093,89.20418788260199,,43.14081632653063,52.7816326530612
Форт,26.714285714285715,7,0.04574,4.383299437731813,95.41224303049842,,57.25991561181434,38.11054852320675
Борей,23.28333333333333,6,0.021259999999999998,4.499859755038802,97.02481712109305,,71.62156663275687,23.88199389623601
Старфайтер,25.066666666666666,6,0.02418,5.439686728526425,89.18073411425608,,73.00371402042713,22.055710306406667
Аланис,12.25,6,0.017660000000000002,3.727523738972248,81.7145029462079,,47.3587786259542,48.343511450381655
Афицион,14.833333333333334,6,0.01892,2.898133025907081,93.98925341254214,,68.5109170305677,27.510917030567683
Родео,31.928571428571427,7,0.01594,4.544159544159501,89.32988065003403,,64.40661157024793,31.391735537190073
Филигрань,12.242857142857144,7,0.056979999999999996,3.7527188360964536,90.92094397844318,,63.40129449838186,33.140776699029146
Конвершн,31.857142857142858,7,0.02308,3.737082432107666,93.05670971364403,,73.35639412997905,21.817610062893067
Джипси,34.385714285714286,7,0.017499999999999998,4.288636523947273,89.71678497167852,,74.82295081967213,19.736065573770475
Рафаэль,32.81428571428572,7,0.019000000000000003,5.8389554919185,94.92149641403375,,77.4892966360856,16.943425076452613
Бахус,18.757142857142856,7,0.01874,3.8604930847865053,83.87039915394104,,42.903896103896145,52.83376623376621
Юкатан,38.15714285714286,7,0.020819999999999998,4.612862940992813,88.58182437694704,,71.25634178905206,23.662216288384528
Бохо,10.0,6,0.016139999999999998,4.79729491740342,90.1830732292917,,54.895086321381115,39.803452855245695
Пилигрим,8.940000000000001,5,0.01454,4.2036976970483275,81.12435262014812,,51.61923583662716,44.395256916996026
Импульс,14.180000000000001,5,0.016860000000000003,3.8123217244265635,85.9676141372884,,54.91559633027527,40.84403669724768
Порфира,13.52,5,0.02098,3.918843802112266,93.06020294349685,,68.87364130434783,27.180706521739125
Фрезер,11.359999999999998,5,0.026566666666666666,4.406713396073611,96.5873631977107,,71.4782608695652,24.956521739130437
Барлах,12.120000000000001,5,0.023920000000000004,4.173151092766774,91.58137668071443,,43.2932862190813,53.87632508833925
